,is F,Joined Group on,Last visited group on,Last Attended,Total RSVPs,RSVPed Yes,RSVPed Maybe,RSVPed No,Meetups attended,Intro,Photo,Assistant Organizer,Mailing List
124,,"June 12, 2018","June 12, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
125,1.0,"May 21, 2018","May 21, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
126,,"February 12, 2018","June 4, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
127,,"January 24, 2018","January 24, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
128,,"January 7, 2018","January 12, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
129,,"June 19, 2018","June 19, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
130,,"July 9, 2017","July 9, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
131,,"July 9, 2017","July 9, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
132,,"January 8, 2018","June 19, 2018",,3.0,0.0,0.0,3.0,0.0,No,Yes,No,Yes
133,,"February 27, 2018","February 27, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
134,,"September 23, 2017","September 23, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
135,,"April 19, 2018","April 19, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
136,,"May 25, 2018","May 25, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
137,,"February 9, 2018","February 9, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
138,,"April 15, 2018","June 16, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
139,,"September 24, 2017","May 26, 2018","March 2, 2018",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
140,,"July 9, 2017","June 11, 2018","July 13, 2017",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
141,,"September 3, 2017","February 23, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
142,,"March 14, 2018","March 14, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
143,,"January 14, 2018","January 30, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
144,,"January 15, 2018","February 19, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
145,,"January 20, 2018","January 24, 2018",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
146,,"March 1, 2018","March 2, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
147,,"February 18, 2018","February 19, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
148,,"July 10, 2017","May 25, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
149,,"November 23, 2017","November 23, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
150,,"September 20, 2017","September 20, 2017",,0.0,0.0,0.0,0.0,0.0,No,No,No,Yes
151,,"January 11, 2018","January 11, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
152,,"July 25, 2017","July 31, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
153,,"March 3, 2018","March 3, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
154,1.0,"January 8, 2018","February 26, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
155,,"July 27, 2017","January 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
156,,"April 1, 2018","April 1, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
157,1.0,"June 15, 2018","June 15, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
158,,"July 9, 2017","January 9, 2018",,2.0,0.0,0.0,2.0,0.0,No,Yes,No,Yes
159,,"January 11, 2018","January 11, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
160,,"January 10, 2018","February 19, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
161,,"June 12, 2018","June 12, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
162,,"August 6, 2017","May 25, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
163,1.0,"September 3, 2017","September 3, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
164,,"January 11, 2018","February 19, 2018","March 2, 2018",2.0,2.0,0.0,0.0,2.0,No,Yes,No,Yes
165,,"January 11, 2018","March 14, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
166,,"May 29, 2018","May 29, 2018",,1.0,1.0,0.0,0.0,0.0,No,Yes,No,Yes
167,,"July 15, 2017","August 23, 2017",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
168,,"February 11, 2018","February 11, 2018","March 2, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
169,1.0,"January 10, 2018","January 10, 2018","January 12, 2018",1.0,1.0,0.0,0.0,1.0,No,Yes,No,Yes
170,,"January 8, 2018","May 3, 2018","March 2, 2018",2.0,2.0,0.0,0.0,2.0,No,No,No,Yes
171,,"December 17, 2017","January 5, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
172,,"April 4, 2018","May 25, 2018",,1.0,1.0,0.0,0.0,0.0,No,No,No,Yes
173,,"June 9, 2018","June 9, 2018",,0.0,0.0,0.0,0.0,0.0,No,Yes,No,Yes
174,1.0,"May 31, 2018","May 31, 2018",,1.0,1.0,0.0,0.0,0.0,No,No,No,Yes
175,1.0,"December 26, 2017","May 25, 2018","January 12, 2018",2.0,2.0,0.0,0.0,1.0,No,Yes,No,Yes
